state,resident
Alabama,36
Alaska,23
Arizona,22
Arkansas,51
California,27
Colorado,40
Connecticut,55
Delaware,43
District of Columbia,34
Florida,23
Georgia,46
Hawaii,14
Idaho,31
Illinois,52
Indiana,59
Iowa,71
Kansas,65
Kentucky,48
Louisiana,60
Maine,51
Maryland,45
Massachusetts,54
Michigan,36
Minnesota,68
Mississippi,41
Missouri,58
Montana,44
Nebraska,67
Nevada,19
New Hampshire,53
New Jersey,33
New Mexico,30
New York,37
North Carolina,30
North Dakota,60
Ohio,49
Oklahoma,59
Oregon,30
Pennsylvania,41
Rhode Island,60
South Carolina,29
South Dakota,75
Tennessee,46
Texas,48
Utah,29
Vermont,46
Virginia,34
Washington,38
West Virginia,32
Wisconsin,62
Wyoming,38
